match_number,game_number,agent_a,agent_b,player_1_agent,player_2_agent,winner_player,winning_agent,turns_played,player_1_attacks,player_1_successful_attacks,player_1_armies_lost,player_1_territories_captured,player_1_decisions,player_1_decision_time,player_1_simulations,player_2_attacks,player_2_successful_attacks,player_2_armies_lost,player_2_territories_captured,player_2_decisions,player_2_decision_time,player_2_simulations
3,11,Random Agent,Monte Carlo Agent,Random Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,12,9,2,15,1,20,0.0001308001228608191,0,6,5,4,4,15,0.019987800042144954,1400
3,12,Random Agent,Monte Carlo Agent,Monte Carlo Agent,Random Agent,Player 2,Random Agent,36,21,8,27,6,46,0.04188919975422323,4200,14,9,14,9,42,0.00034679967211559415,0
3,13,Random Agent,Monte Carlo Agent,Random Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,56,31,18,37,15,71,0.00033699977211654186,0,31,20,31,18,66,0.04834820015821606,5900
3,14,Random Agent,Monte Carlo Agent,Monte Carlo Agent,Random Agent,,Draw,100,54,24,57,21,107,0.06500560004496947,6300,41,23,43,22,113,0.00048130034701898694,0
3,15,Random Agent,Monte Carlo Agent,Random Agent,Monte Carlo Agent,,Draw,100,46,29,47,22,122,0.0006566000520251691,0,46,23,55,23,105,0.14982730004703626,7900
3,16,Random Agent,Monte Carlo Agent,Monte Carlo Agent,Random Agent,Player 2,Random Agent,78,40,15,48,14,84,0.07682360021863133,6600,33,20,31,17,93,0.0005703000933863223,0
3,17,Random Agent,Monte Carlo Agent,Random Agent,Monte Carlo Agent,,Draw,100,50,24,52,19,124,0.0006354001816362143,0,50,21,53,21,110,0.09139899973524734,7300
3,18,Random Agent,Monte Carlo Agent,Monte Carlo Agent,Random Agent,Player 2,Random Agent,88,45,20,53,19,100,0.07748209993587807,7500,32,23,31,22,103,0.0004428005777299404,0
3,19,Random Agent,Monte Carlo Agent,Random Agent,Monte Carlo Agent,,Draw,100,47,29,55,23,136,0.00041690043872222304,0,48,29,53,25,115,0.07310360012343153,10200
3,20,Random Agent,Monte Carlo Agent,Monte Carlo Agent,Random Agent,,Draw,100,52,19,55,15,111,0.06308700051158667,8400,32,18,36,15,109,0.0004600993124768138,0
4,1,Rule-Based Agent,Heuristic Agent,Rule-Based Agent,Heuristic Agent,Player 1,Rule-Based Agent,11,11,7,6,5,20,8.870009332895279e-05,0,7,2,14,2,15,8.780002826824784e-05,0
4,2,Rule-Based Agent,Heuristic Agent,Heuristic Agent,Rule-Based Agent,Player 2,Rule-Based Agent,46,30,11,32,9,54,0.00023629976203665137,0,25,12,26,12,49,0.00018059980357065797,0
4,3,Rule-Based Agent,Heuristic Agent,Rule-Based Agent,Heuristic Agent,Player 1,Rule-Based Agent,23,15,10,13,9,31,0.00014010019367560744,0,15,7,20,6,29,0.00013039982877671719,0
4,4,Rule-Based Agent,Heuristic Agent,Heuristic Agent,Rule-Based Agent,Player 2,Rule-Based Agent,16,13,3,17,1,22,0.000148200080730021,0,9,5,9,4,17,0.0001170999021269381,0
4,5,Rule-Based Agent,Heuristic Agent,Rule-Based Agent,Heuristic Agent,Player 2,Heuristic Agent,18,14,6,18,5,27,0.00012740015517920256,0,12,9,11,8,24,0.00019580015214160085,0
4,6,Rule-Based Agent,Heuristic Agent,Heuristic Agent,Rule-Based Agent,Player 2,Rule-Based Agent,58,34,18,38,17,65,0.00045240006875246763,0,33,20,32,20,63,0.00036170013481751084,0
4,7,Rule-Based Agent,Heuristic Agent,Rule-Based Agent,Heuristic Agent,Player 1,Rule-Based Agent,13,8,6,8,6,16,6.500014569610357e-05,0,12,4,15,3,18,6.530008977279067e-05,0
4,8,Rule-Based Agent,Heuristic Agent,Heuristic Agent,Rule-Based Agent,Player 1,Heuristic Agent,39,24,13,23,13,47,0.00037040014285594225,0,23,10,28,10,45,0.00020670011872425675,0
4,9,Rule-Based Agent,Heuristic Agent,Rule-Based Agent,Heuristic Agent,Player 1,Rule-Based Agent,33,18,12,18,12,36,0.0002881998661905527,0,22,10,25,9,38,0.00021499994909390807,0
4,10,Rule-Based Agent,Heuristic Agent,Heuristic Agent,Rule-Based Agent,,Draw,100,55,21,55,20,107,0.0007879998302087188,0,55,20,57,19,106,0.0005294998991303146,0
4,11,Rule-Based Agent,Heuristic Agent,Rule-Based Agent,Heuristic Agent,Player 1,Rule-Based Agent,23,18,10,14,7,32,0.00019829964730888605,0,13,4,20,4,26,0.00018029980128630996,0
4,12,Rule-Based Agent,Heuristic Agent,Heuristic Agent,Rule-Based Agent,Player 2,Rule-Based Agent,42,26,12,30,11,49,0.00035840022610500455,0,25,15,24,14,47,0.00035679974826052785,0
4,13,Rule-Based Agent,Heuristic Agent,Rule-Based Agent,Heuristic Agent,Player 2,Heuristic Agent,28,19,10,23,7,34,0.00020609976490959525,0,16,10,16,10,31,0.00026210001669824123,0
4,14,Rule-Based Agent,Heuristic Agent,Heuristic Agent,Rule-Based Agent,,Draw,100,54,30,58,30,107,0.0010883000795729458,0,56,32,54,32,109,0.0007256999961100519,0
4,15,Rule-Based Agent,Heuristic Agent,Rule-Based Agent,Heuristic Agent,Player 1,Rule-Based Agent,29,17,9,16,8,33,0.0001906998222693801,0,18,6,23,5,32,0.00016650016186758876,0
4,16,Rule-Based Agent,Heuristic Agent,Heuristic Agent,Rule-Based Agent,Player 2,Rule-Based Agent,72,40,18,45,17,79,0.0004483999218791723,0,39,21,39,20,77,0.00034749985206872225,0
4,17,Rule-Based Agent,Heuristic Agent,Rule-Based Agent,Heuristic Agent,Player 1,Rule-Based Agent,13,12,8,9,7,20,0.00012040016008540988,0,10,4,15,4,17,0.00011189980432391167,0
4,18,Rule-Based Agent,Heuristic Agent,Heuristic Agent,Rule-Based Agent,Player 2,Rule-Based Agent,38,23,11,28,11,45,0.00028130022110417485,0,22,14,21,14,44,0.00023579993285238743,0
4,19,Rule-Based Agent,Heuristic Agent,Rule-Based Agent,Heuristic Agent,Player 1,Rule-Based Agent,15,11,7,9,6,20,0.00010870001278817654,0,10,3,16,3,18,0.00010890018893405795,0
4,20,Rule-Based Agent,Heuristic Agent,Heuristic Agent,Rule-Based Agent,Player 2,Rule-Based Agent,12,10,1,15,1,17,7.38000962883234e-05,0,6,4,3,4,13,5.21000474691391e-05,0
5,1,Rule-Based Agent,Monte Carlo Agent,Rule-Based Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,38,23,8,28,7,45,0.00022809975780546665,0,23,10,22,10,45,0.029817899980116636,3700
5,2,Rule-Based Agent,Monte Carlo Agent,Monte Carlo Agent,Rule-Based Agent,Player 2,Rule-Based Agent,74,44,22,46,20,83,0.05547399999340996,5900,40,23,40,23,79,0.0004989998415112495,0
5,3,Rule-Based Agent,Monte Carlo Agent,Rule-Based Agent,Monte Carlo Agent,Player 1,Rule-Based Agent,79,44,18,43,18,85,0.0007144001428969204,0,45,16,48,15,85,0.0652801000396721,6300
5,4,Rule-Based Agent,Monte Carlo Agent,Monte Carlo Agent,Rule-Based Agent,Player 1,Monte Carlo Agent,7,6,5,2,4,11,0.01928330009104684,1000,7,1,12,1,10,5.960004637017846e-05,0
5,5,Rule-Based Agent,Monte Carlo Agent,Rule-Based Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,18,16,7,18,4,28,0.00045129982754588127,0,9,7,10,7,21,0.0283307998906821,1700
5,6,Rule-Based Agent,Monte Carlo Agent,Monte Carlo Agent,Rule-Based Agent,Player 2,Rule-Based Agent,28,19,8,23,7,34,0.0325984000810422,2800,17,11,15,10,31,0.00019180012168362737,0
5,7,Rule-Based Agent,Monte Carlo Agent,Rule-Based Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,26,18,10,22,9,37,0.00043370015919208527,0,15,13,14,12,33,0.05202920001465827,3100
5,8,Rule-Based Agent,Monte Carlo Agent,Monte Carlo Agent,Rule-Based Agent,Player 1,Monte Carlo Agent,7,7,7,3,6,12,0.019876800011843443,1200,7,3,12,3,10,5.860003875568509e-05,0
5,9,Rule-Based Agent,Monte Carlo Agent,Rule-Based Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,66,36,15,42,14,72,0.0005335998721420765,0,36,17,34,17,71,0.04951450030785054,5500
5,10,Rule-Based Agent,Monte Carlo Agent,Monte Carlo Agent,Rule-Based Agent,Player 1,Monte Carlo Agent,21,15,10,12,9,27,0.027854599815327674,1900,14,6,19,6,25,0.0001490999129600823,0
5,11,Rule-Based Agent,Monte Carlo Agent,Rule-Based Agent,Monte Carlo Agent,Player 1,Rule-Based Agent,31,20,8,17,6,37,0.0002938000252470374,0,18,3,24,3,34,0.030623900063801557,3300
5,12,Rule-Based Agent,Monte Carlo Agent,Monte Carlo Agent,Rule-Based Agent,Player 2,Rule-Based Agent,52,33,15,35,14,60,0.038490899838507175,4400,29,17,29,17,56,0.0003583996440283954,0
5,13,Rule-Based Agent,Monte Carlo Agent,Rule-Based Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,50,28,12,34,11,57,0.0002691994304768741,0,29,15,27,14,58,0.0257308998843655,4000
5,14,Rule-Based Agent,Monte Carlo Agent,Monte Carlo Agent,Rule-Based Agent,Player 1,Monte Carlo Agent,45,27,15,24,14,51,0.031192799971904606,3200,26,11,31,11,49,0.00025530013954266906,0
5,15,Rule-Based Agent,Monte Carlo Agent,Rule-Based Agent,Monte Carlo Agent,Player 1,Rule-Based Agent,13,12,9,7,7,21,0.0001196002122014761,0,8,4,15,4,16,0.04556000017328188,1500
5,16,Rule-Based Agent,Monte Carlo Agent,Monte Carlo Agent,Rule-Based Agent,Player 1,Monte Carlo Agent,21,13,9,10,7,25,0.016989900032058358,1800,12,4,19,4,23,7.780030136927962e-05,0
5,17,Rule-Based Agent,Monte Carlo Agent,Rule-Based Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,28,16,5,23,5,33,0.00016340019647032022,0,16,8,13,8,32,0.042845399817451835,2900
5,18,Rule-Based Agent,Monte Carlo Agent,Monte Carlo Agent,Rule-Based Agent,Player 2,Rule-Based Agent,8,8,2,13,1,14,0.022085300006438047,2200,4,4,2,4,10,6.589986151084304e-05,0
5,19,Rule-Based Agent,Monte Carlo Agent,Rule-Based Agent,Monte Carlo Agent,,Draw,100,56,28,54,26,109,0.0005581999430432916,0,53,24,58,24,106,0.06896719936048612,9300
5,20,Rule-Based Agent,Monte Carlo Agent,Monte Carlo Agent,Rule-Based Agent,Player 2,Rule-Based Agent,46,26,13,32,12,50,0.028960700030438602,4300,27,16,24,15,50,0.00023309985408559442,0
6,1,Heuristic Agent,Monte Carlo Agent,Heuristic Agent,Monte Carlo Agent,Player 1,Heuristic Agent,25,20,11,15,9,34,0.000294300087261945,0,14,6,21,6,27,0.024254300049506128,2800
6,2,Heuristic Agent,Monte Carlo Agent,Monte Carlo Agent,Heuristic Agent,Player 2,Heuristic Agent,24,14,4,21,4,27,0.017926499946042895,1800,16,9,13,7,28,0.000194900028873235,0
6,3,Heuristic Agent,Monte Carlo Agent,Heuristic Agent,Monte Carlo Agent,Player 1,Heuristic Agent,67,39,19,37,18,81,0.000761499919462949,0,37,15,42,15,77,0.09532179980305955,8300
6,4,Heuristic Agent,Monte Carlo Agent,Monte Carlo Agent,Heuristic Agent,Player 1,Monte Carlo Agent,33,22,13,18,11,40,0.029671500029508024,2900,19,8,25,8,36,0.0002359999343752861,0
6,5,Heuristic Agent,Monte Carlo Agent,Heuristic Agent,Monte Carlo Agent,Player 1,Heuristic Agent,31,19,12,18,12,43,0.00032350007677450776,0,21,9,24,9,43,0.05492320022312924,5300
6,6,Heuristic Agent,Monte Carlo Agent,Monte Carlo Agent,Heuristic Agent,Player 2,Heuristic Agent,78,45,18,48,16,86,0.04453699995065108,6200,42,19,42,19,83,0.0005523000145331025,0
6,7,Heuristic Agent,Monte Carlo Agent,Heuristic Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,28,22,10,23,8,37,0.00022009992972016335,0,16,11,17,11,31,0.0182040999061428,2400
6,8,Heuristic Agent,Monte Carlo Agent,Monte Carlo Agent,Heuristic Agent,Player 1,Monte Carlo Agent,43,26,16,23,15,52,0.03588930022669956,3600,25,12,30,12,49,0.000232599675655365,0
6,9,Heuristic Agent,Monte Carlo Agent,Heuristic Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,12,12,5,15,4,19,9.360007243230939e-05,0,9,7,8,7,16,0.01699809991987422,2000
6,10,Heuristic Agent,Monte Carlo Agent,Monte Carlo Agent,Heuristic Agent,Player 1,Monte Carlo Agent,23,16,12,12,11,31,0.030286399996839464,3000,14,8,20,8,28,0.00020269997185096145,0
6,11,Heuristic Agent,Monte Carlo Agent,Heuristic Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,18,12,4,18,4,24,0.00010870001278817654,0,13,7,10,7,24,0.01872419996652752,2400
6,12,Heuristic Agent,Monte Carlo Agent,Monte Carlo Agent,Heuristic Agent,Player 1,Monte Carlo Agent,25,18,10,15,9,32,0.02262969996081665,2700,16,6,21,6,29,0.00014109996845945716,0
6,13,Heuristic Agent,Monte Carlo Agent,Heuristic Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,12,12,6,15,4,19,0.00012480007717385888,0,8,7,8,7,15,0.015185600030235946,1700
6,14,Heuristic Agent,Monte Carlo Agent,Monte Carlo Agent,Heuristic Agent,Player 1,Monte Carlo Agent,39,23,13,19,12,44,0.026431300269905478,3200,23,9,28,9,42,0.00028789998032152653,0
6,15,Heuristic Agent,Monte Carlo Agent,Heuristic Agent,Monte Carlo Agent,Player 1,Heuristic Agent,25,18,10,15,9,33,0.0002576001570560038,0,15,6,21,6,28,0.018820500234141946,2100
6,16,Heuristic Agent,Monte Carlo Agent,Monte Carlo Agent,Heuristic Agent,Player 2,Heuristic Agent,50,28,10,34,10,54,0.03756740014068782,4300,30,14,27,13,55,0.00044110004091635346,0
6,17,Heuristic Agent,Monte Carlo Agent,Heuristic Agent,Monte Carlo Agent,,Draw,100,52,25,56,25,133,0.0015038999263197184,0,55,27,54,25,136,0.16744790005031973,13400
6,18,Heuristic Agent,Monte Carlo Agent,Monte Carlo Agent,Heuristic Agent,Player 2,Heuristic Agent,32,22,9,25,8,42,0.057746299949940294,4600,19,11,18,11,39,0.00036299985367804766,0
6,19,Heuristic Agent,Monte Carlo Agent,Heuristic Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,68,41,18,43,17,76,0.0004783999756909907,0,37,20,37,20,72,0.04782159993192181,6000
6,20,Heuristic Agent,Monte Carlo Agent,Monte Carlo Agent,Heuristic Agent,Player 2,Heuristic Agent,48,27,13,33,12,52,0.03706380008952692,3900,30,16,27,15,54,0.0003802996361628175,0
